net,length_um
net2,93.655
net10,89.48
_004_,74.78
_005_,74.69
net5,73.6
_015_,68.86
net6,63.72
net1,63.56
net7,59.08
net11,54.14
net3,53.85
net9,50.76
_006_,39.905
net8,39.32
clk,38.5
_035_,38.3
net4,34.32
clknet_0_clk,33.31
_021_,31.57
_007_,29.78
clknet_1_1__leaf_clk,28.68
_038_,27.46
clknet_1_0__leaf_clk,26.16
_037_,25.84
net12,22.38
_008_,21.79
_011_,21.735
_012_,21.58
_028_,20
_050_,18.7
B[1],18.68
_040_,16.36
A[1],16.08
_032_,14.76
_020_,14.74
_027_,13.45
_003_,12.98
result[3],12.4
_025_,12.36
sel[1],11.58
_042_,11.12
_024_,10.84
net15,10.66
A[3],10.2
B[0],10.2
B[2],10.19
net16,10.02
B[3],9.64
_001_,8.925
_036_,8.88
rst,8.72
A[2],8.35
_049_,8.34
result[1],7.57
_060_,7.48
A[0],7.47
_023_,7.12
_052_,7.08
_013_,6.92
_048_,6.4
_054_,6.18
sel[2],5.99
_056_,5.9
_046_,5.8
_053_,5.7
_026_,5.68
_018_,5.66
_002_,5.465
_061_,5.44
_019_,5.22
sel[0],4.95
_051_,4.87
result[0],4.85
result[2],4.85
net14,4.54
_010_,4.46
_058_,4.46
_022_,4.34
_030_,4.34
_055_,4.24
_009_,4.02
_031_,4.02
_044_,3.88
_034_,3.78
_045_,3.66
_016_,3.64
_039_,3.56
_029_,2.52
_043_,2.52
_033_,2.4
_017_,2.3
_047_,2.3
_014_,2.18
_000_,2.025
_041_,1.7
_057_,1.48
net13,1.14
_059_,0.92
